Designator,Mid X,Mid Y,Layer,Rotation
D1,2.500mm,2.500mm,Top,270
D2,7.500mm,2.500mm,Top,270
D3,12.500mm,2.500mm,Top,270
D4,17.500mm,2.500mm,Top,270
D5,22.500mm,2.500mm,Top,270
D6,27.500mm,2.500mm,Top,270
D7,32.500mm,2.500mm,Top,270
D8,37.500mm,2.500mm,Top,270
D9,42.500mm,2.500mm,Top,270
D10,47.500mm,2.500mm,Top,270
D11,52.500mm,2.500mm,Top,270
D12,57.500mm,2.500mm,Top,270
D13,62.500mm,2.500mm,Top,270
D14,67.500mm,2.500mm,Top,270
D15,72.500mm,2.500mm,Top,270
D16,77.500mm,2.500mm,Top,270
D17,82.500mm,2.500mm,Top,270
D18,87.500mm,2.500mm,Top,270
D19,92.500mm,2.500mm,Top,270
D20,97.500mm,2.500mm,Top,270
D21,102.500mm,2.500mm,Top,270
D22,107.500mm,2.500mm,Top,270
D23,112.500mm,2.500mm,Top,270
D24,117.500mm,2.500mm,Top,270
D25,122.500mm,2.500mm,Top,270
D26,127.500mm,2.500mm,Top,270
D27,132.500mm,2.500mm,Top,270
D28,137.500mm,2.500mm,Top,270
D29,142.500mm,2.500mm,Top,270
D30,147.500mm,2.500mm,Top,270
D31,152.500mm,2.500mm,Top,270
D32,157.500mm,2.500mm,Top,270
